,last_scraped,name,host_name,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_identity_verified,neighbourhood,property_type,room_type,amenities,has_availability,first_review,last_review,license,instant_bookable,id,scrape_id,host_id,host_listings_count,host_total_listings_count,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,availability_30,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
68,2024-09-06,Nice accomadation for youngs and travelers,Adem,2021-06-29,within a day,70%,11%,f,t,undefined,Private room in rental unit,Private room,"[""Smoke alarm"", ""Washer"", ""Hair dryer"", ""Carbon monoxide alarm"", ""Wifi"", ""Kitchen""]",t,2023-12-10,2024-01-01,03630F3D14CE072893D5,f,752303689874069841,20240905174946,75942371.7,1.0,3.0,52.34272410675909,4.903886765241624,2.0,1.0,1.0,1.0,289.6,1.0,30.0,1.0,30.0,65.0,2.6,81,81,2.0,5.0,5.0,5.0,5.0,5.0,4.5,4.5,1.0,1.0,0.0,0.0
80,2024-09-06,Jordaan apartment with roof terrace!,Clemens & Mariam,2013-12-18,undefined time,0%,98%,t,t,"Amsterdam, Noord-Holland, Netherlands",Private room in rental unit,Private room,"[""Dishes and silverware"", ""Outlet covers"", ""Private patio or balcony"", ""Coffee maker"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Baby safety gates"", ""Baby bath"", ""Hot water"", ""Smoke alarm"", ""Stove"", ""Iron"", ""Fast wifi \u2013 50 Mbps"", ""Refrigerator"", ""Crib"", ""Oven"", ""Luggage dropoff allowed"", ""High chair"", ""Hair dryer"", ""Children\u2019s books and toys"", ""Dishwasher"", ""Hangers"", ""Essentials"", ""Heating"", ""TV"", ""Pack \u2019n play/Travel crib"", ""First aid kit"", ""Private entrance"", ""Kitchen""]",t,2019-09-08,2024-07-20,0363 774E 94B8 2541 CB6A,f,36828236,20240905174946,10698721.0,1.0,1.0,52.37647,4.8807,4.0,1.0,3.0,1.0,289.6,2.0,135.4,2.0,1125.0,65.0,0.0,0,0,13.4,4.97,4.92,4.92,4.97,4.99,4.99,4.8,1.0,1.0,0.0,0.0
89,2024-09-06,Houseboat. Private quiet room in a great location,Rene,2019-01-26,undefined time,0%,0%,f,t,undefined,Private room in bed and breakfast,Private room,"[""Air conditioning"", ""Smoking allowed"", ""Hangers"", ""Breakfast"", ""Essentials"", ""Iron"", ""Washer"", ""Heating"", ""TV"", ""Private living room"", ""Free parking on premises"", ""Pets allowed"", ""Hair dryer"", ""Shampoo"", ""Wifi"", ""Private entrance"", ""Kitchen"", ""Dryer""]",t,00/00/00,00/00/00,0363 E711 807D B216 DCFA,t,45457698,20240905174946,239030156.0,1.0,1.0,52.36579,4.93523,2.0,1.0,1.0,1.0,289.6,4.0,14.0,4.0,1125.0,65.0,0.0,0,0,0.0,4.8,4.9,4.8,4.9,4.9,4.8,4.7,1.0,1.0,0.0,0.0
120,2024-09-05,Amsterdam Oasis Hideaway,B,2023-12-23,within an hour,100%,100%,f,t,undefined,Private room in townhouse,Private room,"[""Shower gel"", ""Body soap"", ""Central heating"", ""Dedicated workspace"", ""Exterior security cameras on property"", ""Hot water"", ""Smoke alarm"", ""Iron"", ""Cleaning products"", ""Lock on bedroom door"", ""Host greets you"", ""Paid street parking off premises"", ""Hair dryer"", ""EV charger"", ""Conditioner"", ""Wifi"", ""Mosquito net"", ""Clothing storage: wardrobe"", ""Hangers"", ""Long term stays allowed"", ""Shampoo"", ""Bed linens""]",t,2024-01-07,2024-08-27,036349894E751AE6440C,t,1052725228900518539,20240905174946,75942371.7,1.0,1.0,52.4,4.9,2.0,1.0,1.0,1.0,84.0,2.0,365.0,2.3,365.0,65.0,14.0,72,162,34.0,4.68,4.68,4.38,4.82,4.82,4.44,4.47,1.0,1.0,0.0,0.0
121,2024-09-06,Private room #2 in shared apartment,Ewout,2015-06-19,undefined time,0%,0%,f,t,undefined,Private room in condo,Private room,"[""Dishes and silverware"", ""Smoke alarm"", ""Lockbox"", ""Washer"", ""TV"", ""Free parking on premises"", ""Exterior security cameras on property"", ""Outdoor dining area"", ""Self check-in"", ""Carbon monoxide alarm"", ""Wifi"", ""Kitchen""]",t,2022-08-13,2022-08-31,0363 A9BE 2DD4 DBD7 1D33,t,673946976516346165,20240905174946,36232679.0,1.0,2.0,52.4,4.9,2.0,1.0,1.0,1.0,289.6,1.0,365.0,1.0,365.0,65.0,0.0,0,0,4.0,4.5,5.0,4.5,5.0,5.0,4.5,4.5,1.0,1.0,0.0,0.0
127,2024-09-05,Souterrain Twin Room,Melrose Hotel,2019-11-22,within an hour,100%,100%,f,t,undefined,Room in hotel,Private room,"[""Paid parking on premises"", ""Body soap"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Building staff"", ""Extra pillows and blankets"", ""Safe"", ""Luggage dropoff allowed"", ""Hair dryer"", ""Elevator"", ""EV charger"", ""Self check-in"", ""Wifi"", ""Cleaning available during stay"", ""Air conditioning"", ""Hangers"", ""Essentials"", ""Heating"", ""TV"", ""First aid kit"", ""Shampoo"", ""Fire extinguisher"", ""Bed linens""]",t,2021-07-16,2023-11-24,Exempt,t,888039933939304905,20240905174946,311321908.0,1.0,1.4,52.36922418094216,4.879154234735213,2.0,1.0,1.0,2.0,175.0,1.0,365.0,1.1,1000.0,65.0,12.0,35,307,5.0,4.9,4.9,4.8,4.8,5.0,5.0,4.2,1.0,1.0,0.0,0.0
137,2024-09-05,Stay in the pijp,Martin,2015-05-19,within an hour,100%,100%,t,t,undefined,Private room in condo,Private room,"[""Dishes and silverware"", ""Toaster"", ""Paid parking on premises"", ""Shower gel"", ""Outlet covers"", ""Free washer \u2013 In unit"", ""Coffee"", ""Smoking allowed"", ""Body soap"", ""Portable fans"", ""Dedicated workspace"", ""Pets allowed"", ""Coffee maker"", ""Paid parking off premises"", ""Cooking basics"", ""Carbon monoxide alarm"", ""First aid kit"", ""Hot water"", ""Fast wifi \u2013 435 Mbps"", ""Pocket wifi"", ""Smoke alarm"", ""Lockbox"", ""Iron"", ""55 inch HDTV with Apple TV, Netflix, Amazon Prime Video, HBO Max, Disney+"", ""Cleaning products"", ""Blender"", ""Ethernet connection"", ""Microwave"", ""Refrigerator"", ""Hammock"", ""Wine glasses"", ""Extra pillows and blankets"", ""Clothing storage: closet and wardrobe"", ""Housekeeping - included with your stay"", ""Oven"", ""Luggage dropoff allowed"", ""Free dryer \u2013 In unit"", ""Hair dryer"", ""Self check-in"", ""Conditioner"", ""Dishwasher"", ""Hot water kettle"", ""Induction stove"", ""Hangers"", ""Essentials"", ""Pack \u2019n play/Travel crib - available upon request"", ""Heating"", ""Long term stays allowed"", ""Freezer"", ""Laundromat nearby"", ""Room-darkening shades"", ""Shampoo"", ""Fire extinguisher"", ""Kitchen"", ""Bed linens"", ""Baking sheet""]",t,2019-01-05,2024-09-01,Exempt,t,30551730,20240905174946,33755999.0,1.0,3.0,52.3544,4.88679,4.0,1.0,2.0,3.0,321.0,2.0,730.0,2.0,730.0,65.0,11.0,64,235,13.4,4.95,4.91,4.91,4.97,4.99,4.92,4.66,1.0,1.0,0.0,0.0
139,2024-09-05,Wildervanck Bed&Breakfast,Sjoerd,2021-09-24,within a few hours,100%,100%,f,t,undefined,Private room in bed and breakfast,Private room,"[""Smoke alarm"", ""TV"", ""Dedicated workspace"", ""Wifi"", ""Fire extinguisher"", ""Lock on bedroom door""]",t,2021-10-31,2024-08-24,0363 926B 4C69 6F2A 028B,f,52434885,20240905174946,75942371.7,1.0,1.0,52.36625,4.88654,2.0,1.0,1.0,2.0,165.0,3.0,15.0,2.9,15.0,65.0,5.0,44,289,45.0,4.84,4.89,4.96,4.93,4.91,4.98,4.87,1.0,1.0,0.0,0.0
141,2024-09-05,Luxury canal view room (self check-in possible),Maikel,2020-03-09,within an hour,100%,100%,t,t,"Amsterdam, Noord-Holland, Netherlands",Private room in bed and breakfast,Private room,"[""Smoke alarm"", ""Hangers"", ""Essentials"", ""Iron"", ""Heating"", ""TV"", ""Coffee maker"", ""Hair dryer"", ""Paid parking off premises"", ""Refrigerator"", ""Carbon monoxide alarm"", ""Shampoo"", ""Wifi"", ""Fire extinguisher"", ""Lock on bedroom door""]",t,2020-08-08,2024-07-09,0363 60E3 0AD9 B93F 00D2,f,42801703,20240905174946,340915276.0,1.0,2.0,52.37493,4.88893,2.0,1.0,1.0,1.0,400.0,3.0,135.4,3.0,1125.0,65.0,0.0,39,39,13.4,5.0,4.99,4.97,5.0,4.99,4.99,4.83,1.0,1.0,0.0,0.0
142,2024-09-06,Citiez Hotel Amsterdam: Small Family Room,Jean Paul,2021-06-14,within an hour,98%,99%,f,t,"Amsterdam, Noord-Holland, Netherlands",Room in hotel,Private room,"[""Air conditioning"", ""Smoke alarm"", ""Essentials"", ""Heating"", ""TV"", ""First aid kit"", ""Free parking on premises"", ""Hair dryer"", ""Building staff"", ""Self check-in"", ""Carbon monoxide alarm"", ""Wifi"", ""Fire extinguisher""]",t,2021-06-27,2024-09-01,Exempt,t,50452369,20240905174946,75942371.7,1.0,1.4,52.35896,4.80313,4.0,1.0,1.0,2.0,147.0,1.0,365.0,1.0,7.0,65.0,15.0,61,334,13.4,4.63,4.69,4.68,4.85,4.85,4.52,4.48,1.0,1.0,0.0,0.0
146,2024-09-05,Double Room,Melrose Hotel,2019-11-22,within an hour,100%,100%,f,t,undefined,Room in hotel,Private room,"[""Paid parking on premises"", ""Body soap"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Pocket wifi"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Safe"", ""Luggage dropoff allowed"", ""Hair dryer"", ""Elevator"", ""EV charger"", ""Wifi"", ""Cleaning available during stay"", ""Air conditioning"", ""Hangers"", ""Essentials"", ""Heating"", ""TV"", ""First aid kit"", ""Shampoo"", ""Fire extinguisher"", ""High chair"", ""Bed linens""]",t,2020-11-16,2024-04-26,Exempt,t,888016739156396885,20240905174946,311321908.0,1.0,1.4,52.36872255147248,4.880301816825184,2.0,1.0,1.0,1.0,194.0,1.0,365.0,1.1,1000.0,65.0,2.6,85,360,38.0,4.58,4.9,4.58,4.9,5.0,4.71,4.24,1.0,1.0,0.0,0.0
147,2024-09-05,Spui's the Limit,Jessica,2020-11-10,within an hour,100%,100%,f,t,undefined,Private room in rental unit,Private room,"[""Essentials"", ""Iron"", ""Heating"", ""TV"", ""Hair dryer"", ""Refrigerator"", ""Wifi""]",t,2021-11-26,2024-08-16,0363 215E 7869 8A01 5579,t,46346561,20240905174946,375106479.0,1.0,1.0,52.37043,4.8902,2.0,1.0,0.0,1.0,251.2,2.0,135.4,2.0,1125.0,65.0,13.0,73,344,24.0,4.9,4.9,4.54,4.9,5.0,4.71,4.7,1.0,1.0,0.0,0.0
151,2024-09-06,NEW| Cosy apartment in 9 streets,Eva En Floor,2023-03-03,within a few hours,92%,98%,f,t,"Amsterdam, Noord-Holland, Netherlands",Private room in rental unit,Private room,"[""Dishes and silverware"", ""Hot water kettle"", ""Smoke alarm"", ""Hangers"", ""Essentials"", ""Window guards"", ""Lockbox"", ""Dedicated workspace"", ""Coffee maker"", ""Hair dryer"", ""Self check-in"", ""Carbon monoxide alarm"", ""Shampoo"", ""Wifi"", ""Kitchen"", ""Hot water""]",t,2023-03-09,2024-09-01,abcd 1234 AB12 89EF A0F9,f,838847945337625366,20240905174946,75942371.7,1.0,1.0,52.370099932928255,4.884471070952385,2.0,1.0,1.0,1.0,163.0,1.0,365.0,2.0,365.0,65.0,2.0,31,129,13.4,4.62,4.69,4.78,4.85,5.0,4.92,4.42,1.0,1.0,0.0,0.0
152,2024-09-06,Room in Vondelpark apartment,David,2016-01-22,within a few hours,89%,50%,f,t,undefined,Private room in condo,Private room,"[""Iron"", ""Washer"", ""TV"", ""Dedicated workspace"", ""Wifi"", ""Fire extinguisher"", ""Kitchen""]",t,2023-11-26,2024-07-07,0363 D1CA 4D4A 9D2E 6FEB,f,1024673342112858583,20240905174946,55631056.0,1.0,3.0,52.363507,4.8772364,2.0,1.0,1.0,1.0,111.0,3.0,5.0,3.0,5.0,65.0,0.0,15,15,5.0,5.0,5.0,4.8,5.0,5.0,5.0,4.6,1.0,1.0,0.0,0.0
154,2024-09-05,Private & Clean apartment next to Vondelpark!,Moja,2015-02-24,within an hour,100%,99%,t,t,"Amsterdam, Noord-Holland, Netherlands",Private room in bed and breakfast,Private room,"[""Crib - available upon request"", ""Dishes and silverware"", ""Coffee maker: espresso machine, Nespresso"", ""Shower gel"", ""Coffee"", ""Body soap"", ""Central heating"", ""Private living room"", ""Portable fans"", ""Dedicated workspace"", ""Carbon monoxide alarm"", ""Hot water"", ""Smoke alarm"", ""Marie Stella Maris shampoo"", ""Iron"", ""Cleaning products"", ""Clothing storage: closet"", ""Mini fridge"", ""Refrigerator"", ""Extra pillows and blankets"", ""Ceiling fan"", ""Paid street parking off premises"", ""Luggage dropoff allowed"", ""Hair dryer"", ""Bikes"", ""Keypad"", ""Self check-in"", ""Wifi"", ""Hot water kettle"", ""Hangers"", ""Dining table"", ""Essentials"", ""HDTV with standard cable"", ""Books and reading material"", ""Freezer"", ""Laundromat nearby"", ""Room-darkening shades"", ""Fire extinguisher"", ""Private entrance"", ""Bed linens""]",t,2017-06-22,2024-08-24,0363 AAF3 DD2D 2560 CE9E,f,16084127,20240905174946,28289832.0,1.0,1.0,52.36227035522461,4.876715183258057,4.0,1.0,2.0,1.3,251.2,2.0,135.4,2.0,1125.0,65.0,3.0,29,291,13.4,4.92,4.92,4.93,4.95,4.96,4.93,4.73,1.0,1.0,0.0,0.0
155,2024-09-06,Great Canal Studio - water view & Free Parking,Katia Jaqueline,2016-09-16,within an hour,100%,98%,t,t,"Amsterdam, Noord-Holland, Netherlands",Private room in guest suite,Private room,"[""Dishes and silverware"", ""Toaster"", ""Shower gel"", ""Garden view"", ""Barbecue utensils"", ""Kitchenette"", ""Body soap"", ""Coffee maker"", ""Patio or balcony"", ""Outdoor furniture"", ""Cooking basics"", ""Carbon monoxide alarm"", ""First aid kit"", ""Hot water"", ""BBQ grill: gas"", ""Waterfront"", ""Smoke alarm"", ""Lockbox"", ""Iron"", ""Ethernet connection"", ""Microwave"", ""Refrigerator"", ""Hammock"", ""Canal view"", ""Wine glasses"", ""Free parking on premises"", ""Single level home"", ""Extra pillows and blankets"", ""Ceiling fan"", ""Paid street parking off premises"", ""Hair dryer"", ""Children\u2019s books and toys"", ""Self check-in"", ""Wifi"", ""Mosquito net"", ""Dishwasher"", ""Hot water kettle"", ""Hangers"", ""Dining table"", ""Books and reading material"", ""Heating"", ""TV"", ""Children\u2019s dinnerware"", ""Board games"", ""Courtyard view"", ""Outdoor dining area"", ""Room-darkening shades"", ""Fire extinguisher"", ""Private entrance"", ""Bed linens""]",t,2017-04-20,2024-08-31,0363 BB21 0C3B 713E AD58,f,17835965,20240905174946,95422089.0,1.0,1.4,52.35565,4.9,4.0,1.0,0.0,2.0,163.0,2.0,135.4,2.0,1125.0,65.0,7.0,53,96,13.4,4.94,4.91,4.94,4.97,4.96,4.83,4.78,1.0,1.0,0.0,0.0
