,id,last_scraped,name,host_id,host_name,host_since,host_response_time,host_is_superhost,host_identity_verified,neighbourhood,neighbourhood_cleansed,latitude,longitude,property_type,room_type,amenities,calendar_last_scraped,has_availability,first_review,last_review,license,instant_bookable,host_response_rate,host_acceptance_rate,host_listings_count,host_total_listings_count,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
1202,13622872,2024-09-25,"Rento habitación  ""Éxito""",49735631,Jorge,2015-11-23,within an hour,f,t,Mexico City,Cuajimalpa de Morelos,19.36864,-99.26882,Shared room in home,Shared room,"[""Iron"", ""Wifi"", ""Refrigerator"", ""Dishes and silverware"", ""Self check-in"", ""Dishwasher"", ""Hangers"", ""Free parking on premises"", ""Coffee maker"", ""Paid washer \u2013 In unit"", ""Long term stays allowed"", ""First aid kit"", ""Essentials"", ""Hot water"", ""Luggage dropoff allowed"", ""Pocket wifi"", ""TV with standard cable"", ""Kitchen"", ""Oven"", ""Smoke alarm"", ""Stove"", ""Fire extinguisher"", ""Paid dryer \u2013 In unit"", ""Free street parking"", ""Microwave"", ""Cooking basics"", ""Building staff""]",2024-09-25,t,2017-07-12,2023-12-06,Unknown,t,1.0,1.0,23.0,26.0,4.0,1.0,1.0,2.0,918.0,1.0,1125.0,1.0,365.0,24,78,84,13.0,4.69,4.85,4.92,4.92,4.92,4.92,4.77,21.0,1.0,19.0,1.0
1461,15165035,2024-09-26,Citta San Jerónimo apartamento,96227433,Carlo,2016-09-21,Unknown,f,f,Mexico City,Álvaro Obregón,19.33279,-99.2389,Shared room in rental unit,Shared room,"[""Free parking on premises"", ""Pool"", ""Kitchen"", ""Gym"", ""Elevator""]",2024-09-26,t,No reviews,No reviews,Unknown,f,0.9361689895470384,0.8949061696116056,1.0,1.0,3.0,1.0,2.0,2.0,1511.648404142887,1.0,1125.0,1.0,1125.0,0,0,0,0.0,4.85,4.88,4.86,4.92,4.93,4.93,4.81,1.0,0.0,0.0,1.0
1587,16011942,2024-09-25,Single bed  in a dormitory,96703748,Diego,2016-09-25,within an hour,f,t,"Mexico City, Ciudad de México, Mexico",Iztacalco,19.39701,-99.06568,Shared room in guest suite,Shared room,"[""Extra pillows and blankets"", ""Body soap"", ""Carbon monoxide alarm"", ""Luggage dropoff allowed"", ""Wifi"", ""Lockbox"", ""Fire extinguisher"", ""Bathtub"", ""Bed linens"", ""Self check-in"", ""Essentials"", ""Free street parking"", ""Shampoo"", ""Hot water"", ""Pets allowed"", ""Dedicated workspace"", ""Smoke alarm"", ""Paid parking off premises""]",2024-09-25,t,2016-11-22,2023-11-19,Unknown,f,0.82,0.73,7.0,7.0,1.0,1.0,1.0,1.8,250.0,1.0,7.0,1.0,7.0,30,90,90,54.0,4.52,4.57,4.8,4.79,4.77,4.65,4.63,5.0,1.0,0.0,4.0
1597,16032189,2024-09-25,Cama individual en habitación compartida,96703748,Diego,2016-09-25,within an hour,f,t,"Mexico City, Ciudad de México, Mexico",Iztacalco,19.39872,-99.06529,Shared room in home,Shared room,"[""Carbon monoxide alarm"", ""Wifi"", ""Free carport on premises \u2013 1 space"", ""Patio or balcony"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Pets allowed"", ""Smoke alarm""]",2024-09-25,t,2017-01-18,2022-11-26,Unknown,f,0.82,0.73,7.0,7.0,1.0,1.0,1.0,1.8,250.0,1.0,7.0,1.0,7.0,30,90,90,3.0,4.33,4.0,4.33,4.67,4.33,4.9,4.33,5.0,1.0,0.0,4.0
1976,17964379,2024-09-26,Habitación sencilla dentro de casa,109843622,Humberto,2017-01-04,Unknown,f,f,Mexico City,Coyoacán,19.31947,-99.14869,Shared room in home,Shared room,[],2024-09-26,t,No reviews,No reviews,Unknown,f,0.9361689895470384,0.8949061696116056,3.0,3.0,1.0,1.0,2.0,2.0,1511.648404142887,1.0,1125.0,1.0,1125.0,0,0,0,0.0,4.85,4.88,4.86,4.92,4.93,4.93,4.81,2.0,0.0,1.0,1.0
2073,18451165,2024-09-26,Excelente cuarto zona sur CDMX,126914120,Israel,2017-04-21,Unknown,f,f,"Mexico City, Ciudad de México, Mexico",Benito Juárez,19.36154,-99.15249,Shared room in rental unit,Shared room,"[""Self check-in"", ""Smoking allowed"", ""Pets allowed"", ""Building staff""]",2024-09-26,t,No reviews,No reviews,Unknown,f,0.9361689895470384,0.8949061696116056,1.0,1.0,2.0,1.0,2.0,2.0,1511.648404142887,1.0,1125.0,1.0,1125.0,0,0,0,0.0,4.85,4.88,4.86,4.92,4.93,4.93,4.81,1.0,0.0,0.0,1.0
2188,19037182,2024-09-25,HABITACIÓN CON SERVICIOS INCLUIDOS,47398486,Nelson,2015-10-25,Unknown,f,t,Mexico City,Iztacalco,19.3955,-99.10519,Shared room in rental unit,Shared room,"[""Extra pillows and blankets"", ""Luggage dropoff allowed"", ""Coffee maker"", ""Wifi"", ""Fire extinguisher"", ""Bed linens"", ""Long term stays allowed"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Pets allowed"", ""Single level home"", ""Microwave""]",2024-09-25,t,2017-11-20,2023-02-27,Unknown,f,0.9361689895470384,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2029.0,2.0,1125.0,2.0,1125.0,23,83,91,16.0,4.88,5.0,5.0,5.0,4.94,4.75,4.94,1.0,0.0,0.0,1.0
2264,19333425,2024-09-26,"Casa de estudiantes (UPN, COLMEX y UNAM)",104708177,Roman Ernesto,2016-11-21,Unknown,f,f,"Mexico City, Ciudad de México, Mexico",Tlalpan,19.28528,-99.22093,Shared room in home,Shared room,"[""Washer"", ""Wifi"", ""Cleaning available during stay"", ""Host greets you"", ""Refrigerator"", ""Dishes and silverware"", ""Hangers"", ""Coffee maker"", ""Long term stays allowed"", ""Hot water"", ""Dryer"", ""Luggage dropoff allowed"", ""TV"", ""Babysitter recommendations"", ""Pocket wifi"", ""Game console"", ""Patio or balcony"", ""Bed linens"", ""Kitchen"", ""Oven"", ""Stove"", ""Extra pillows and blankets"", ""Free street parking"", ""Microwave"", ""Cooking basics""]",2024-09-26,t,No reviews,No reviews,Unknown,f,0.9361689895470384,0.8949061696116056,2.0,2.0,2.0,1.0,2.0,2.0,1511.648404142887,3.0,1125.0,2.8,1125.0,0,0,0,0.0,4.85,4.88,4.86,4.92,4.93,4.93,4.81,2.0,0.0,0.0,2.0
2506,20833518,2024-09-26,Excelente habitación en departamento,149455836,Nathan,2017-09-06,Unknown,f,f,Mexico City,Miguel Hidalgo,19.44434,-99.16704,Shared room in rental unit,Shared room,"[""Wifi"", ""Kitchen"", ""Hangers""]",2024-09-26,t,2017-11-20,2017-11-20,Unknown,f,0.9361689895470384,0.8949061696116056,1.0,3.0,2.0,1.0,2.0,2.0,1511.648404142887,2.0,6.0,2.0,6.0,0,0,0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,0.0,0.0,1.0
2591,21314149,2024-09-26,Depto céntrico CD MX,15072544,Luis,2014-05-04,Unknown,f,f,"Mexico City, Ciudad de México, Mexico",Venustiano Carranza,19.40979,-99.1246,Shared room in rental unit,Shared room,"[""Washer"", ""TV"", ""Wifi"", ""Heating"", ""Breakfast"", ""Kitchen"", ""First aid kit"", ""Essentials"", ""Shampoo"", ""Microwave"", ""Smoking allowed""]",2024-09-26,t,No reviews,No reviews,Unknown,f,0.9361689895470384,0.8949061696116056,1.0,1.0,1.0,1.0,2.0,2.0,1511.648404142887,1.0,1125.0,1.0,1125.0,0,0,0,0.0,4.85,4.88,4.86,4.92,4.93,4.93,4.81,1.0,0.0,0.0,1.0
2678,21451591,2024-09-25,Colchoneta dentro de nuestra sala BAÑO COMPARTIDO,39532020,Shannthall,2015-07-25,within a few hours,f,t,Mexico City,Venustiano Carranza,19.40829,-99.10902,Shared room in rental unit,Shared room,"[""Iron"", ""Hair dryer"", ""TV"", ""Wifi"", ""Coffee maker"", ""Host greets you"", ""Refrigerator"", ""Dishes and silverware"", ""Hot water"", ""Dedicated workspace"", ""Cooking basics"", ""Hangers""]",2024-09-25,t,2017-11-20,2024-09-21,Unknown,f,0.96,0.63,6.0,8.0,1.0,1.0,1.0,1.0,600.0,2.0,1125.0,1.0,1125.0,24,83,358,8.0,4.75,4.88,4.88,5.0,4.88,5.0,4.75,6.0,0.0,5.0,1.0
2753,21819110,2024-09-26,DEPARTAMENTO  COMPARTIDO PARA  GENTE  COMO  TU,159050197,Ramón,2017-11-17,Unknown,f,f,"Mexico City, Ciudad de México, Mexico",Miguel Hidalgo,19.44392,-99.17965,Shared room in guest suite,Shared room,"[""Iron"", ""Washer"", ""Wifi"", ""Fire extinguisher"", ""Kitchen"", ""First aid kit"", ""Pets allowed""]",2024-09-26,t,No reviews,No reviews,Unknown,f,0.9361689895470384,0.8949061696116056,1.0,1.0,1.0,1.0,2.0,2.0,1511.648404142887,10.0,10.0,10.0,10.0,0,0,0,0.0,4.85,4.88,4.86,4.92,4.93,4.93,4.81,1.0,0.0,0.0,1.0
3332,24272530,2024-09-25,"TRENDY HOSTEL / Yes we speak English, Welcome !!!",114584959,Ignacio,2017-02-02,within a few hours,f,t,Mexico City,Miguel Hidalgo,19.44803,-99.18615,Shared room in rental unit,Shared room,"[""Dryer"", ""Iron"", ""Washer"", ""Wifi"", ""TV with standard cable"", ""Exterior security cameras on property"", ""Breakfast"", ""Host greets you"", ""Kitchen"", ""First aid kit"", ""Essentials"", ""Free street parking"", ""Shampoo"", ""Hot water"", ""Hair dryer""]",2024-09-25,t,2018-09-29,2019-10-19,Unknown,f,0.75,0.67,9.0,12.0,1.0,1.0,1.0,1.0,413.0,1.0,60.0,1.0,60.0,28,88,363,8.0,4.88,4.38,4.88,4.63,4.88,4.63,4.88,6.0,0.0,2.0,4.0
3437,24540559,2024-09-25,Cuarto para profesionista independiente,76924488,Victor,2016-06-10,Unknown,f,t,"Mexico City, Ciudad de México, Mexico",Tlalpan,19.26262,-99.17713,Shared room in home,Shared room,"[""Free parking on premises"", ""Iron"", ""Washer"", ""TV"", ""Wifi"", ""Breakfast"", ""Kitchen"", ""First aid kit"", ""Gym"", ""Essentials"", ""Shampoo"", ""Smoking allowed"", ""Hangers""]",2024-09-25,t,No reviews,No reviews,Unknown,f,0.9361689895470384,0.8949061696116056,2.0,2.0,1.0,2.0,1.0,1.0,350.0,3.0,20.0,3.0,20.0,30,90,365,0.0,4.85,4.88,4.86,4.92,4.93,4.93,4.81,2.0,0.0,1.0,1.0
3766,26687899,2024-09-26,Departamento con balcón muy acogedor,51376081,Karina,2015-12-15,Unknown,f,f,Mexico City,Venustiano Carranza,19.41982,-99.11541,Shared room in dorm,Shared room,"[""Dryer"", ""Iron"", ""Washer"", ""TV"", ""Wifi"", ""Breakfast"", ""Kitchen"", ""First aid kit"", ""Gym"", ""Essentials"", ""Shampoo"", ""Hangers"", ""Hair dryer""]",2024-09-26,t,No reviews,No reviews,Unknown,f,0.9361689895470384,0.8949061696116056,1.0,4.0,2.0,1.0,2.0,2.0,1511.648404142887,1.0,15.0,1.0,15.0,0,0,0,0.0,4.85,4.88,4.86,4.92,4.93,4.93,4.81,1.0,0.0,0.0,1.0
3788,26772017,2024-09-25,Escape in the forest,32929125,David,2015-05-08,Unknown,f,t,"Mexico City, Ciudad de México, Mexico",Cuajimalpa de Morelos,19.32502,-99.29182,Shared room in guest suite,Shared room,"[""Iron"", ""Washer"", ""Wifi"", ""Host greets you"", ""Hangers"", ""Free parking on premises"", ""Coffee maker"", ""Backyard"", ""Breakfast"", ""First aid kit"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Dryer"", ""Luggage dropoff allowed"", ""Pocket wifi"", ""Game console"", ""Patio or balcony"", ""Bed linens"", ""Extra pillows and blankets"", ""Smoking allowed"", ""Single level home""]",2024-09-25,t,No reviews,No reviews,Unknown,f,0.9361689895470384,0.8949061696116056,1.0,2.0,3.0,1.0,1.0,2.0,1300.0,1.0,7.0,1.0,7.0,30,90,365,0.0,4.85,4.88,4.86,4.92,4.93,4.93,4.81,1.0,0.0,0.0,1.0
3914,27656261,2024-09-26,Habitación muy cómoda y segura.En casa de 3 pisos.,208712604,Oscar Andrés,2018-08-10,Unknown,f,f,Mexico City,La Magdalena Contreras,19.30564,-99.26347,Shared room in home,Shared room,"[""Dryer"", ""Iron"", ""Washer"", ""TV"", ""Wifi"", ""Free parking on premises"", ""Indoor fireplace"", ""Exterior security cameras on property"", ""Breakfast"", ""Kitchen"", ""First aid kit"", ""Essentials"", ""Shampoo"", ""Hangers"", ""Smoking allowed"", ""Hair dryer""]",2024-09-26,t,No reviews,No reviews,Unknown,f,0.9361689895470384,0.8949061696116056,1.0,1.0,1.0,1.0,2.0,2.0,1511.648404142887,1.0,6.0,1.0,6.0,0,0,0,0.0,4.85,4.88,4.86,4.92,4.93,4.93,4.81,1.0,0.0,0.0,1.0
4190,29219909,2024-09-25,Trendy Back Packer / Yes we speak English,114584959,Ignacio,2017-02-02,within a few hours,f,t,Mexico City,Miguel Hidalgo,19.44809,-99.18555,Shared room in rental unit,Shared room,"[""Dryer"", ""Iron"", ""Washer"", ""Wifi"", ""TV with standard cable"", ""Breakfast"", ""Host greets you"", ""Kitchen"", ""First aid kit"", ""Essentials"", ""Free street parking"", ""Shampoo"", ""Hot water"", ""Hair dryer""]",2024-09-25,t,2018-10-28,2022-11-20,Unknown,f,0.75,0.67,9.0,12.0,1.0,1.0,1.0,1.0,413.0,1.0,60.0,1.0,60.0,30,90,365,11.0,4.64,4.64,4.64,4.45,4.55,4.64,4.64,6.0,0.0,2.0,4.0
4982,32822267,2024-09-25,Recamaras amuebladas,246924406,Edmundo,2019-03-05,Unknown,f,t,Mexico City,Coyoacán,19.30985,-99.17269,Shared room in rental unit,Shared room,"[""Dryer"", ""Iron"", ""Washer"", ""TV"", ""Wifi"", ""Fire extinguisher"", ""Kitchen"", ""First aid kit"", ""Essentials"", ""Hot water"", ""Hangers""]",2024-09-25,t,No reviews,No reviews,Unknown,f,0.9361689895470384,0.8949061696116056,1.0,2.0,6.0,1.0,3.0,6.0,3000.0,30.0,180.0,30.0,180.0,30,90,365,0.0,4.85,4.88,4.86,4.92,4.93,4.93,4.81,1.0,0.0,0.0,1.0
4992,32842972,2024-09-25,Shared room very economy and close to CDMX center,244321663,Casa Mx,2019-02-20,within an hour,f,t,"Mexico City, Ciudad de México, Mexico",Cuauhtémoc,19.44051551818848,-99.14479064941406,Shared room in hostel,Shared room,"[""Shared patio or balcony"", ""Wifi"", ""Paid washer \u2013 In building"", ""Freezer"", ""Cleaning available during stay"", ""Refrigerator"", ""Dishes and silverware"", ""Self check-in"", ""Building staff"", ""Blender"", ""Carbon monoxide alarm"", ""Hammock"", ""Long term stays allowed"", ""First aid kit"", ""Essentials"", ""Hot water"", ""Dining table"", ""Luggage dropoff allowed"", ""Ping pong table"", ""Shared outdoor kitchen"", ""Bed linens"", ""Outdoor dining area"", ""Stainless steel gas stove"", ""Smoke alarm"", ""Fire extinguisher"", ""Room-darkening shades"", ""Paid dryer \u2013 In building"", ""Exterior security cameras on property"", ""Cooking basics"", ""Paid parking off premises"", ""Microwave""]",2024-09-25,t,2019-03-28,2023-01-16,Unknown,t,0.94,0.99,16.0,16.0,1.0,2.0,1.0,1.0,305.0,1.0,1125.0,1.0,1125.0,29,86,255,22.0,4.5,4.77,4.23,4.91,4.59,4.68,4.59,16.0,0.0,6.0,9.0
4993,32843504,2024-09-25,centric Shared Room 5 min Fine Arts,244321663,Casa Mx,2019-02-20,within an hour,f,t,"Mexico City, Ciudad de México, Mexico",Cuauhtémoc,19.440019607543945,-99.14488220214844,Shared room in hostel,Shared room,"[""Shared patio or balcony"", ""Wifi"", ""Paid washer \u2013 In building"", ""Freezer"", ""Cleaning available during stay"", ""Refrigerator"", ""Dishes and silverware"", ""Self check-in"", ""Building staff"", ""Blender"", ""Carbon monoxide alarm"", ""Hammock"", ""Long term stays allowed"", ""First aid kit"", ""Essentials"", ""Hot water"", ""Luggage dropoff allowed"", ""Ping pong table"", ""Shared outdoor kitchen"", ""Bed linens"", ""Outdoor dining area"", ""Stainless steel gas stove"", ""Smoke alarm"", ""Fire extinguisher"", ""Room-darkening shades"", ""Paid dryer \u2013 In building"", ""Exterior security cameras on property"", ""Cooking basics"", ""Microwave""]",2024-09-25,t,2019-03-10,2024-05-15,Unknown,t,0.94,0.99,16.0,16.0,1.0,2.0,1.0,1.0,246.0,1.0,1125.0,1.0,1125.0,28,84,253,82.0,4.6,4.68,4.34,4.76,4.62,4.73,4.65,16.0,0.0,6.0,9.0
4994,32843672,2024-09-25,Hostel room in the center of CDMX,244321663,Casa Mx,2019-02-20,within an hour,f,t,"Mexico City, Ciudad de México, Mexico",Cuauhtémoc,19.44004440307617,-99.14469146728516,Shared room in hostel,Shared room,"[""Shared patio or balcony"", ""Wifi"", ""Paid washer \u2013 In building"", ""Freezer"", ""Cleaning available during stay"", ""Refrigerator"", ""Dishes and silverware"", ""Self check-in"", ""Building staff"", ""Blender"", ""Coffee maker"", ""Hammock"", ""Long term stays allowed"", ""First aid kit"", ""Essentials"", ""Hot water"", ""Luggage dropoff allowed"", ""Ping pong table"", ""Shared outdoor kitchen"", ""Bed linens"", ""Outdoor dining area"", ""Stainless steel gas stove"", ""Fire extinguisher"", ""Room-darkening shades"", ""Paid dryer \u2013 In building"", ""Exterior security cameras on property"", ""Cooking basics"", ""Microwave""]",2024-09-25,t,2019-03-19,2024-07-13,Unknown,t,0.94,0.99,16.0,16.0,1.0,1.0,1.0,1.0,301.0,1.0,1125.0,1.0,1125.0,28,83,252,90.0,4.66,4.74,4.49,4.86,4.58,4.73,4.68,16.0,0.0,6.0,9.0
4995,32843914,2024-09-25,Shared room close to Almeda central CDMX,244321663,Casa Mx,2019-02-20,within an hour,f,t,"Mexico City, Ciudad de México, Mexico",Cuauhtémoc,19.440166473388672,-99.14458465576172,Shared room in hostel,Shared room,"[""Wifi"", ""Private patio or balcony"", ""Freezer"", ""Cleaning available during stay"", ""Refrigerator"", ""Dishes and silverware"", ""Self check-in"", ""Exercise equipment"", ""Building staff"", ""Blender"", ""Carbon monoxide alarm"", ""Backyard"", ""Hammock"", ""Long term stays allowed"", ""First aid kit"", ""Essentials"", ""Hot water"", ""Dining table"", ""Luggage dropoff allowed"", ""Ping pong table"", ""Bed linens"", ""Kitchen"", ""BBQ grill"", ""Paid parking off premises"", ""Smoke alarm"", ""Stove"", ""Extra pillows and blankets"", ""Fire extinguisher"", ""Room-darkening shades"", ""Gym"", ""Exterior security cameras on property"", ""Dedicated workspace"", ""Cooking basics"", ""Hair dryer"", ""Microwave""]",2024-09-25,t,2019-03-23,2024-09-03,Unknown,t,0.94,0.99,16.0,16.0,1.0,2.0,1.0,1.0,197.0,1.0,1125.0,1.0,1125.0,27,83,252,125.0,4.53,4.59,4.25,4.76,4.6,4.65,4.69,16.0,0.0,6.0,9.0
