,id,last_scraped,name,host_id,host_name,host_since,host_response_time,host_is_superhost,host_identity_verified,neighbourhood,neighbourhood_cleansed,latitude,longitude,property_type,room_type,amenities,calendar_last_scraped,has_availability,first_review,last_review,license,instant_bookable,host_response_rate,host_acceptance_rate,host_listings_count,host_total_listings_count,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
718,9171973,2024-09-25,1 Bedroom Apartment bosques,15219834,Enrique Y Ricardo,2014-05-07,within an hour,f,t,"Mexico City, Distrito Federal, Mexico",Miguel Hidalgo,19.40034,-99.25211,Room in serviced apartment,Hotel room,"[""Iron"", ""Washer"", ""Wifi"", ""Heating"", ""Refrigerator"", ""Dishes and silverware"", ""Self check-in"", ""Pets allowed"", ""Hangers"", ""Free parking on premises"", ""Carbon monoxide alarm"", ""Coffee maker"", ""Backyard"", ""Crib"", ""Long term stays allowed"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Dryer"", ""Luggage dropoff allowed"", ""TV with standard cable"", ""Patio or balcony"", ""Kitchen"", ""Smoke alarm"", ""Fire extinguisher"", ""Free street parking"", ""Dedicated workspace"", ""Cooking basics"", ""Building staff""]",2024-09-25,t,2016-04-09,2023-09-24,Unknown,t,0.99,0.96,26.0,30.0,2.0,1.0,1.0,1.0,1219.0,2.0,1125.0,1.6,99.0,18,77,205,41.0,4.8,4.88,4.93,4.83,4.78,4.95,4.73,24.0,23.0,0.0,0.0
940,12008058,2024-09-25,Exclusivo departamento 2 recámaras Polanco,64224416,Israel,2016-03-23,within an hour,t,t,"Mexico City, Distrito Federal, Mexico",Miguel Hidalgo,19.4298,-99.19414,Room in serviced apartment,Hotel room,"[""Pool"", ""Iron"", ""Washer"", ""Wifi"", ""Heating"", ""Bathtub"", ""Self check-in"", ""Pets allowed"", ""Hangers"", ""Free parking on premises"", ""Carbon monoxide alarm"", ""Breakfast"", ""Crib"", ""Long term stays allowed"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Dryer"", ""Luggage dropoff allowed"", ""TV with standard cable"", ""Hot tub"", ""Kitchen"", ""Smoke alarm"", ""Fire extinguisher"", ""Air conditioning"", ""Gym"", ""Elevator"", ""Hair dryer"", ""Building staff""]",2024-09-25,t,2016-10-31,2024-06-29,Unknown,t,1.0,0.98,2.0,2.0,4.0,2.0,2.0,3.0,6473.0,1.0,1125.0,1.0,1125.0,23,75,350,64.0,4.89,4.89,4.88,4.95,4.86,4.97,4.73,2.0,1.0,0.0,0.0
952,11491144,2024-09-26,LOOKING FOR A GROUP STAY DEAL? THIS IS IT!,35406862,Thor,2015-06-09,within a few hours,f,t,"Colonia Juárez, Distrito Federal, Mexico",Cuauhtémoc,19.42456,-99.17179,Room in bed and breakfast,Hotel room,"[""Pool"", ""Iron"", ""Washer"", ""Wifi"", ""Self check-in"", ""Hangers"", ""Carbon monoxide alarm"", ""First aid kit"", ""Essentials"", ""Shampoo"", ""Hot water"", ""TV with standard cable"", ""Hot tub"", ""Kitchen"", ""Smoke alarm"", ""Fire extinguisher"", ""Air conditioning"", ""Gym"", ""Elevator"", ""Hair dryer"", ""Building staff""]",2024-09-26,t,No reviews,No reviews,Unknown,t,1.0,0.31,58.0,69.0,3.1,1.4,1.5,1.8,10697.0,1.0,1125.0,1.0,1125.0,30,90,365,0.0,4.85,4.88,4.86,4.92,4.93,4.93,4.81,19.0,2.0,11.0,2.0
954,11507601,2024-09-26,HIGH-END TOWER FOR COWORKING - 90 JR. SUITES,35406862,Thor,2015-06-09,within a few hours,f,t,"Colonia Juárez, Distrito Federal, Mexico",Cuauhtémoc,19.42543,-99.17176,Room in serviced apartment,Hotel room,"[""Pool"", ""Iron"", ""Washer"", ""Wifi"", ""Self check-in"", ""Hangers"", ""Free parking on premises"", ""Carbon monoxide alarm"", ""First aid kit"", ""Essentials"", ""Shampoo"", ""Dryer"", ""TV with standard cable"", ""Hot tub"", ""Kitchen"", ""Smoke alarm"", ""Fire extinguisher"", ""Gym"", ""Elevator"", ""Hair dryer"", ""Building staff""]",2024-09-26,t,2018-02-08,2018-05-27,Unknown,f,1.0,0.31,58.0,69.0,3.1,1.4,1.5,1.8,9109.0,1.0,1125.0,1.0,1125.0,30,90,365,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,19.0,2.0,11.0,2.0
1187,13587715,2024-09-26,Apartamento Amueblado Vista Interior en la Condesa,78456925,Joaquin,2016-06-18,within an hour,t,t,"Mexico City, Ciudad de México, Mexico",Cuauhtémoc,19.40315,-99.17053,Room in serviced apartment,Hotel room,"[""Iron"", ""Wifi"", ""Exterior security cameras on property"", ""Host greets you"", ""Refrigerator"", ""Dishes and silverware"", ""Hangers"", ""Long term stays allowed"", ""Essentials"", ""Hot water"", ""TV with standard cable"", ""Bed linens"", ""Kitchen"", ""Oven"", ""Stove"", ""Extra pillows and blankets"", ""Fire extinguisher"", ""Elevator"", ""Dedicated workspace"", ""Cooking basics""]",2024-09-26,t,2018-10-03,2024-09-02,Unknown,f,1.0,1.0,5.0,7.0,2.0,1.0,1.0,1.0,425.0,3.0,1125.0,3.0,1125.0,2,41,304,145.0,4.85,4.91,4.9,4.94,4.94,4.94,4.9,5.0,0.0,3.0,0.0
1709,16842742,2024-09-25,"Suite con baño y cocina privado, 2 pax Sanitizada",92520916,Adrian,2016-08-29,within a day,f,t,"Mexico City, Ciudad de México, Mexico",Álvaro Obregón,19.35765,-99.17713,Room in aparthotel,Hotel room,"[""Iron"", ""Carbon monoxide alarm"", ""TV"", ""Wifi"", ""Heating"", ""Kitchen"", ""Dishes and silverware"", ""Self check-in"", ""Essentials"", ""Shampoo"", ""Hangers"", ""Building staff"", ""Smoke alarm"", ""Hair dryer"", ""Microwave""]",2024-09-25,t,2019-03-06,2024-08-11,Unknown,t,0.58,1.0,9.0,9.0,1.0,1.0,1.0,1.0,749.0,1.0,1125.0,1.0,1125.0,30,90,365,33.0,4.52,4.48,4.64,4.73,4.7,4.73,4.45,9.0,2.0,6.0,0.0
1760,16840020,2024-09-26,Suite familiar en Portal San Angel,110805631,Adrián,2017-01-10,within a few hours,f,t,"Mexico City, Ciudad de México, Mexico",Álvaro Obregón,19.36133,-99.18829,Room in boutique hotel,Hotel room,"[""Iron"", ""Hair dryer"", ""TV"", ""Wifi"", ""Coffee maker"", ""Luggage dropoff allowed"", ""Exterior security cameras on property"", ""Kitchen"", ""Long term stays allowed"", ""Self check-in"", ""Essentials"", ""Free street parking"", ""Shampoo"", ""Hot water"", ""Paid parking off premises"", ""Cooking basics"", ""Lockbox"", ""Hangers""]",2024-09-26,t,2017-02-19,2023-11-26,Unknown,t,1.0,0.89,14.0,15.0,6.0,1.0,1.0,2.0,1511.648404142887,1.0,30.0,1.0,1125.0,30,90,365,24.0,4.33,4.71,4.71,4.79,4.67,4.92,4.58,14.0,1.0,10.0,0.0
1906,17777234,2024-09-26,❤ 25 SUITES - HOME OFFICE FOR COMPANY STAFF-WEEKLY,35406862,Thor,2015-06-09,within a few hours,f,t,"Colonia Juárez, Ciudad de México, Mexico",Cuauhtémoc,19.42632,-99.17102,Room in serviced apartment,Hotel room,"[""Pool"", ""Iron"", ""Washer"", ""Wifi"", ""Self check-in"", ""Hangers"", ""Free parking on premises"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""First aid kit"", ""Essentials"", ""Hot water"", ""Dryer"", ""Luggage dropoff allowed"", ""TV"", ""Hot tub"", ""Kitchen"", ""Smoke alarm"", ""Fire extinguisher"", ""Air conditioning"", ""Gym"", ""Elevator"", ""Paid parking off premises"", ""Building staff""]",2024-09-26,t,No reviews,No reviews,Unknown,t,1.0,0.31,58.0,69.0,3.1,1.4,1.5,1.8,11111.0,1.0,1125.0,1.3,1125.0,30,90,365,0.0,4.85,4.88,4.86,4.92,4.93,4.93,4.81,19.0,2.0,11.0,2.0
2347,19945397,2024-09-26,Departamento con 2 Recamaras Desayuno Gratis,141354058,Suites,2017-07-19,within a day,f,t,Mexico City,Miguel Hidalgo,19.42723,-99.19667,Room in serviced apartment,Hotel room,"[""Iron"", ""Washer"", ""Elevator"", ""High chair"", ""Wifi"", ""Heating"", ""Refrigerator"", ""Dishes and silverware"", ""Self check-in"", ""Hangers"", ""Free parking on premises"", ""Carbon monoxide alarm"", ""Coffee maker"", ""Backyard"", ""Breakfast"", ""Crib"", ""Long term stays allowed"", ""First aid kit"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Dryer"", ""Luggage dropoff allowed"", ""TV"", ""Kitchen"", ""Oven"", ""Smoke alarm"", ""Stove"", ""Fire extinguisher"", ""Gym"", ""Microwave"", ""Dedicated workspace"", ""Cooking basics"", ""Hair dryer"", ""Building staff""]",2024-09-26,t,2017-10-29,2021-11-06,Unknown,t,1.0,1.0,4.0,4.0,4.0,1.0,2.0,2.0,1511.648404142887,1.0,115.0,1.0,1125.0,19,72,347,11.0,4.82,4.91,4.91,5.0,5.0,5.0,4.64,3.0,0.0,2.0,0.0
2908,22321037,2024-09-26,Beautiful Apartment,163184238,Eliana,2017-12-18,Unknown,f,t,"Mexico City, Ciudad de México, Mexico",Benito Juárez,19.39551,-99.17638,Room in serviced apartment,Hotel room,"[""Iron"", ""Washer"", ""Elevator"", ""Wifi"", ""Private patio or balcony"", ""Heating"", ""Freezer"", ""Laundromat nearby"", ""Children\u2019s books and toys"", ""Refrigerator"", ""Dishes and silverware"", ""Ethernet connection"", ""Pets allowed"", ""Portable fans"", ""Hangers"", ""Free parking on premises"", ""Body soap"", ""Children\u2019s dinnerware"", ""Crib"", ""Long term stays allowed"", ""First aid kit"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Smoking allowed"", ""Dining table"", ""Shower gel"", ""Dryer"", ""Clothing storage: closet"", ""Luggage dropoff allowed"", ""TV"", ""Babysitter recommendations"", ""Coffee"", ""Kitchen"", ""Board games"", ""Oven"", ""Books and reading material"", ""Stove"", ""Cleaning products"", ""Room-darkening shades"", ""Wine glasses"", ""Microwave"", ""Cooking basics"", ""Hair dryer""]",2024-09-26,t,2019-08-31,2019-08-31,Unknown,t,0.9361689895470384,0.8949061696116056,1.0,1.0,4.0,1.0,2.0,2.0,1511.648404142887,1.0,1125.0,1.0,1125.0,29,89,89,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,0.0,0.0,0.0
3172,23924789,2024-09-26,Full apartment - HOTEL AMENITIES!,156085152,Mega,2017-10-24,within an hour,f,t,"Mexico City, Ciudad de México, Mexico",Cuauhtémoc,19.42498,-99.16867,Room in aparthotel,Hotel room,"[""Iron"", ""Washer"", ""Elevator"", ""Wifi"", ""Refrigerator"", ""Dishes and silverware"", ""Self check-in"", ""Building staff"", ""Hangers"", ""Carbon monoxide alarm"", ""Coffee maker"", ""Long term stays allowed"", ""First aid kit"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Dryer"", ""TV"", ""Hot tub"", ""Kitchen"", ""Paid parking off premises"", ""Smoke alarm"", ""Fire extinguisher"", ""Gym"", ""Exterior security cameras on property"", ""Cooking basics"", ""Hair dryer"", ""Microwave""]",2024-09-26,t,2018-04-01,2024-08-22,Unknown,t,1.0,0.99,24.0,40.0,2.0,1.0,1.0,1.0,1990.0,1.0,1125.0,1.0,1125.0,28,79,354,15.0,4.2,3.93,4.8,4.6,4.73,5.0,3.8,2.0,1.0,0.0,0.0
3197,23957804,2024-09-25,Suite in Reforma. Hotel amenities. Pool/Gym. K5,485786839,Charlic,2022-10-31,within an hour,t,t,"Mexico City, Ciudad de México, Mexico",Cuauhtémoc,19.42565,-99.1697,Room in serviced apartment,Hotel room,"[""Pool"", ""Iron"", ""Washer"", ""Elevator"", ""Wifi"", ""Cleaning available during stay"", ""Refrigerator"", ""Dishes and silverware"", ""Self check-in"", ""Portable fans"", ""Hangers"", ""Carbon monoxide alarm"", ""Coffee maker"", ""Backyard"", ""Long term stays allowed"", ""First aid kit"", ""Essentials"", ""Dryer"", ""Luggage dropoff allowed"", ""TV"", ""Hot tub"", ""Bed linens"", ""Kitchen"", ""Conditioner"", ""BBQ grill"", ""Paid parking off premises"", ""Smoke alarm"", ""Fire extinguisher"", ""Clothing storage"", ""Gym"", ""Microwave"", ""Cooking basics"", ""Hair dryer"", ""Building staff""]",2024-09-25,t,2018-03-30,2023-08-27,Unknown,f,1.0,0.97,8.0,11.0,2.0,1.0,0.0,1.0,1990.0,1.0,1125.0,1.0,1125.0,29,79,354,11.0,4.18,4.27,4.91,4.55,4.64,4.91,4.27,8.0,5.0,0.0,0.0
3199,23958426,2024-09-26,Best flat in Reforma. Suite. Jacuzzi and gym. K12,471157218,Charlic Isaac,2022-07-23,within an hour,f,t,"Mexico City, Ciudad de México, Mexico",Cuauhtémoc,19.42658,-99.17046,Room in serviced apartment,Hotel room,"[""Iron"", ""Washer"", ""Elevator"", ""Wifi"", ""Refrigerator"", ""Dishes and silverware"", ""Hangers"", ""Carbon monoxide alarm"", ""Coffee maker"", ""Long term stays allowed"", ""First aid kit"", ""Essentials"", ""Hot water"", ""Dryer"", ""Luggage dropoff allowed"", ""TV with standard cable"", ""Patio or balcony"", ""Hot tub"", ""Kitchen"", ""BBQ grill"", ""Paid parking off premises"", ""Smoke alarm"", ""Fire extinguisher"", ""Gym"", ""Microwave"", ""Cooking basics"", ""Single level home"", ""Hair dryer""]",2024-09-26,t,2018-03-31,2023-08-27,Unknown,f,1.0,1.0,2.0,7.0,2.0,1.0,0.0,1.0,1990.0,1.0,1125.0,1.0,1125.0,28,79,354,14.0,4.93,4.71,5.0,4.86,5.0,5.0,4.64,1.0,0.0,0.0,0.0
3200,23958598,2024-09-26,Full Suite. *Hotel Amenities* WALK EVERYWHERE -K13,492066501,Charligisaac,2022-12-19,within an hour,t,t,"Mexico City, Ciudad de México, Mexico",Cuauhtémoc,19.42516,-99.16868,Room in serviced apartment,Hotel room,"[""Pool"", ""Iron"", ""Washer"", ""Elevator"", ""Wifi"", ""Cleaning available during stay"", ""Refrigerator"", ""Dishes and silverware"", ""Self check-in"", ""Portable fans"", ""Hangers"", ""Carbon monoxide alarm"", ""Coffee maker"", ""Long term stays allowed"", ""First aid kit"", ""Essentials"", ""Dryer"", ""Luggage dropoff allowed"", ""TV"", ""Patio or balcony"", ""Bed linens"", ""Kitchen"", ""Conditioner"", ""Paid parking off premises"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Fire extinguisher"", ""Clothing storage"", ""Gym"", ""Microwave"", ""Cooking basics"", ""Hair dryer"", ""Building staff""]",2024-09-26,t,2018-06-02,2023-08-27,Unknown,t,1.0,0.99,19.0,25.0,2.0,1.0,0.0,1.0,1990.0,1.0,1125.0,1.0,1125.0,28,79,354,14.0,4.29,4.36,4.57,4.36,4.43,4.64,4.43,9.0,8.0,0.0,0.0
3201,23959123,2024-09-26,"Great Suite w/hotel Amenities, jacuzzi and gym K15",485786839,Charlic,2022-10-31,within an hour,t,t,"Mexico City, Ciudad de México, Mexico",Cuauhtémoc,19.42595,-99.16855,Room in serviced apartment,Hotel room,"[""Dryer"", ""Iron"", ""Washer"", ""TV"", ""Carbon monoxide alarm"", ""Wifi"", ""Elevator"", ""Fire extinguisher"", ""Kitchen"", ""First aid kit"", ""Self check-in"", ""Gym"", ""Essentials"", ""Hangers"", ""Smoke alarm"", ""Hair dryer"", ""Building staff""]",2024-09-26,t,2018-03-27,2023-08-27,Unknown,f,1.0,0.97,8.0,11.0,2.0,1.0,0.0,1.0,1990.0,1.0,1125.0,1.0,1125.0,28,79,354,17.0,4.59,4.47,4.65,4.65,4.94,4.88,4.41,8.0,5.0,0.0,0.0
