,last_scraped,name,host_name,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_identity_verified,neighbourhood,property_type,room_type,amenities,has_availability,first_review,last_review,license,instant_bookable,id,scrape_id,host_id,host_listings_count,host_total_listings_count,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,availability_30,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
3027,2024-09-06,ClinkNoord - Bed in 10-bed girls en-suite dorm,ClinkNOORD,2019-02-25,undefined time,0%,99%,f,f,"Amsterdam, Noord-Holland, Netherlands",Shared room in hostel,Shared room,"[""Outlet covers"", ""Hangers"", ""Smoke alarm"", ""Smart lock"", ""Heating"", ""Self check-in"", ""Carbon monoxide alarm"", ""Wifi"", ""Kitchen""]",f,2019-05-10,2023-11-17,Exempt,f,32624427,20240905174946,245267147.0,1.0,1.4,52.38315,4.90405,1.0,1.0,1.0,1.0,289.6,1.0,6.0,1.0,6.0,65.0,0.0,0,0,13.4,4.5,4.67,4.8,4.9,5.0,4.8,4.44,1.0,1.0,0.0,0.0
3298,2024-09-06,City center accommodation,Olsira,2015-01-05,undefined time,0%,0%,f,t,"Amsterdam, NH, Netherlands",Shared room in rental unit,Shared room,"[""Dishes and silverware"", ""Paid parking on premises"", ""Coffee maker"", ""Paid parking off premises"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Hot water"", ""Smoke alarm"", ""Stove"", ""Iron"", ""Refrigerator"", ""Host greets you"", ""Oven"", ""Hair dryer"", ""Wifi"", ""Dishwasher"", ""Hangers"", ""Essentials"", ""Heating"", ""First aid kit"", ""Shampoo"", ""Fire extinguisher"", ""Kitchen"", ""Bed linens""]",t,2018-08-02,2019-11-03,0363 05BE 0F5A D34B 5977,f,26950128,20240905174946,25657043.0,1.0,2.0,52.34609,4.84872,2.0,1.0,1.0,1.0,289.6,1.0,2.0,1.0,2.0,65.0,0.0,0,0,65.0,4.58,4.65,4.72,4.9,5.0,4.46,4.32,1.0,1.0,0.0,0.0
3333,2024-09-06,Bed in 6 Bed Dorm Ensuite,St Christophers At The Winston,2019-01-17,undefined time,0%,0%,f,f,undefined,Shared room in hostel,Shared room,"[""Smoke alarm"", ""Essentials"", ""Iron"", ""Backyard"", ""Heating"", ""Luggage dropoff allowed"", ""Hair dryer"", ""Patio or balcony"", ""Elevator"", ""First aid kit"", ""Wifi"", ""Fire extinguisher"", ""Bed linens"", ""Hot water""]",t,2019-08-04,2020-02-26,Exempt,t,31945123,20240905174946,237150996.0,1.0,1.4,52.37392,4.89635,1.0,1.0,1.0,1.0,289.6,1.0,135.4,1.4,7.0,65.0,0.0,0,0,13.4,4.9,4.6,4.41,4.72,5.0,4.96,4.55,1.0,1.0,0.0,0.0
3340,2024-09-06,Bed in 8 Bed Dorm Ensuite,St Christophers At The Winston,2019-01-17,undefined time,0%,0%,f,f,undefined,Shared room in hostel,Shared room,"[""Smoke alarm"", ""Essentials"", ""Iron"", ""Backyard"", ""Heating"", ""Luggage dropoff allowed"", ""Hair dryer"", ""Patio or balcony"", ""Elevator"", ""First aid kit"", ""Wifi"", ""Fire extinguisher"", ""Bed linens"", ""Hot water""]",t,2019-08-02,2023-04-26,Exempt,t,31945260,20240905174946,237150996.0,1.0,1.4,52.37392,4.89635,1.0,1.0,1.0,1.0,289.6,1.0,135.4,1.4,7.0,65.0,0.0,0,0,13.4,4.54,4.76,4.41,4.81,4.81,4.96,4.66,1.0,1.0,0.0,0.0
4031,2024-09-05,Cozy Living room,Gokhan,2024-07-12,within a few hours,80%,0%,f,t,undefined,Shared room in rental unit,Shared room,"[""Dishes and silverware"", ""Paid parking on premises"", ""Whirlpool gas stove"", ""Shower gel"", ""Coffee"", ""Free washer \u2013 In unit"", ""Body soap"", ""Central heating"", ""Private patio or balcony"", ""Cooking basics"", ""Hot water"", ""Iron"", ""Whirlpool  oven"", ""Cleaning products"", ""Blender"", ""Microwave"", ""Wine glasses"", ""Extra pillows and blankets"", ""Coffee maker: Nespresso"", ""Safe"", ""Free dryer \u2013 In unit"", ""Hair dryer"", ""Wifi"", ""Dishwasher"", ""Hot water kettle"", ""Dining table"", ""65 inch HDTV with Netflix"", ""Long term stays allowed"", ""Outdoor dining area"", ""Freezer"", ""Kitchen"", ""Bed linens""]",t,00/00/00,00/00/00,0363 58D2 3C71 B107 321D,f,1199903669937045617,20240905174946,75942371.7,1.0,2.0,52.36364,4.86743,2.0,1.0,1.0,2.0,184.0,1.0,365.0,1.0,365.0,65.0,2.6,86,267,0.0,4.8,4.9,4.8,4.9,4.9,4.8,4.7,1.0,1.0,0.0,0.0
4849,2024-09-05,Generator - Bed in 4 bed Dorm,Generator,2019-03-27,within an hour,98%,99%,f,t,"Amsterdam, Noord-Holland, Netherlands",Shared room in hostel,Shared room,"[""Air conditioning"", ""Paid parking on premises"", ""Smoke alarm"", ""Hangers"", ""Board games"", ""Ping pong table"", ""Luggage dropoff allowed"", ""Exterior security cameras on property"", ""Bikes"", ""Elevator"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Wifi""]",t,2019-06-22,2024-08-21,Exempt,t,35927687,20240905174946,251479377.0,1.0,1.4,52.36054,4.91984,1.0,1.0,1.0,2.0,251.2,1.0,135.4,1.0,28.0,65.0,2.6,87,358,13.4,4.51,4.67,4.59,4.9,5.0,4.57,4.44,1.0,1.0,0.0,0.0
4994,2024-09-05,"Supper hotel, 2 double rooms",Davin,2019-12-29,undefined time,0%,0%,f,t,undefined,Shared room in hotel,Shared room,[],t,00/00/00,00/00/00,Exempt,f,948000280660183547,20240905174946,322246807.0,1.0,1.0,52.36648,4.88963,4.0,1.0,2.0,2.0,251.2,4.0,365.0,4.0,365.0,65.0,2.6,90,365,0.0,4.8,4.9,4.8,4.9,4.9,4.8,4.7,1.0,1.0,0.0,0.0
5173,2024-09-06,ClinkNoord - Bed in 4-bed en-suite dorm,ClinkNOORD,2019-02-25,undefined time,0%,99%,f,f,"Amsterdam, Noord-Holland, Netherlands",Shared room in hostel,Shared room,"[""Outlet covers"", ""Hangers"", ""Smoke alarm"", ""Smart lock"", ""Heating"", ""Self check-in"", ""Carbon monoxide alarm"", ""Wifi"", ""Kitchen""]",f,2019-05-09,2024-03-25,Exempt,f,32624429,20240905174946,245267147.0,1.0,1.4,52.38512,4.90442,1.0,1.0,1.0,1.0,289.6,1.0,6.0,1.0,14.0,65.0,0.0,0,0,13.4,4.62,4.73,4.57,4.72,5.0,4.81,4.54,1.0,1.0,0.0,0.0
5213,2024-09-06,Bed in 6 POD Dorm Ensuite,St Christophers At The Winston,2019-01-17,undefined time,0%,0%,f,f,undefined,Shared room in hostel,Shared room,"[""Smoke alarm"", ""Essentials"", ""Iron"", ""Backyard"", ""Heating"", ""Luggage dropoff allowed"", ""Hair dryer"", ""Patio or balcony"", ""Elevator"", ""First aid kit"", ""Wifi"", ""Fire extinguisher"", ""Bed linens"", ""Hot water""]",t,2020-02-17,2020-02-17,Exempt,t,41339519,20240905174946,237150996.0,1.0,1.4,52.37392,4.89635,1.0,1.0,1.0,1.0,289.6,1.0,135.4,1.4,7.0,65.0,0.0,0,0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,0.0,0.0
5218,2024-09-06,Ecomama - Bed in 5-bed hipster dorm,Ecomama,2020-10-15,undefined time,0%,0%,f,t,"Amsterdam, Noord-Holland, Netherlands",Shared room in hostel,Shared room,"[""Smoke alarm"", ""Essentials"", ""Shared patio or balcony"", ""Hair dryer"", ""Carbon monoxide alarm"", ""Shampoo"", ""Wifi"", ""Fire extinguisher"", ""Kitchen"", ""Hot water""]",t,2021-09-12,2022-05-24,Exempt,t,45999354,20240905174946,372015241.0,1.0,1.4,52.37008,4.90778,1.0,1.0,1.0,1.0,289.6,1.0,14.0,1.2,7.0,65.0,0.0,0,0,5.0,4.6,4.8,4.4,5.0,4.8,4.8,4.4,1.0,1.0,0.0,0.0
5241,2024-09-06,Ecomama - Bed in girls 7-bed dorm,Ecomama,2020-10-15,undefined time,0%,0%,f,t,"Amsterdam, Noord-Holland, Netherlands",Shared room in hostel,Shared room,"[""Smoke alarm"", ""Shared patio or balcony"", ""Carbon monoxide alarm"", ""Wifi"", ""Fire extinguisher""]",t,2022-04-28,2022-04-28,Exempt,t,54302897,20240905174946,372015241.0,1.0,1.4,52.37078,4.90789,1.0,1.0,1.0,1.0,289.6,1.0,14.0,1.1,7.0,65.0,0.0,0,0,1.0,5.0,5.0,4.8,5.0,5.0,5.0,5.0,1.0,1.0,0.0,0.0
5271,2024-09-06,Cocomama - Bed in 4-bed dorm,Cocomama,2020-10-22,undefined time,0%,100%,f,t,"Amsterdam, Noord-Holland, Netherlands",Shared room in hostel,Shared room,"[""Smoke alarm"", ""Outdoor dining area"", ""Carbon monoxide alarm"", ""Wifi"", ""Fire extinguisher""]",t,2022-05-23,2022-07-31,Exempt,t,54303312,20240905174946,372878845.0,1.0,1.4,52.35838,4.8978,1.0,1.0,1.0,1.0,289.6,1.0,14.0,1.2,7.0,65.0,0.0,0,0,6.0,4.67,4.67,4.67,5.0,5.0,5.0,4.5,1.0,1.0,0.0,0.0
5649,2024-09-06,Cocomama - Bed in 6-bed dorm,Cocomama,2020-10-22,undefined time,0%,100%,f,t,"Amsterdam, Noord-Holland, Netherlands",Shared room in hostel,Shared room,"[""Carbon monoxide alarm"", ""Wifi"", ""Smoke alarm""]",t,2022-04-13,2022-04-13,Exempt,t,54362481,20240905174946,372878845.0,1.0,1.4,52.35755,4.89772,1.0,1.0,1.0,1.0,289.6,1.0,14.0,1.2,7.0,65.0,0.0,0,0,1.0,4.9,5.0,4.8,5.0,5.0,4.8,5.0,1.0,1.0,0.0,0.0
6544,2024-09-05,Shared couch on my stylish condo,Melis,2020-01-06,within a few hours,100%,64%,f,t,undefined,Shared room in rental unit,Shared room,"[""Dishes and silverware"", ""Paid parking on premises"", ""Shower gel"", ""Coffee"", ""Body soap"", ""Washer"", ""Dedicated workspace"", ""Rice maker"", ""Hot tub"", ""Patio or balcony"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Hot water"", ""Smoke alarm"", ""Stove"", ""Iron"", ""Drying rack for clothing"", ""Cleaning products"", ""Blender"", ""Coffee maker: pour-over coffee"", ""Microwave"", ""Refrigerator"", ""Wine glasses"", ""Bathtub"", ""Extra pillows and blankets"", ""Oven"", ""Exercise equipment"", ""Conditioner"", ""Wifi"", ""Dryer"", ""Dishwasher"", ""Hot water kettle"", ""Dining table"", ""Essentials"", ""Books and reading material"", ""Heating"", ""TV"", ""Outdoor dining area"", ""Freezer"", ""Room-darkening shades"", ""Shampoo"", ""Kitchen"", ""Bed linens""]",t,00/00/00,00/00/00,0363 8863 A9F6 C3D3 8AAC,f,1205703470127475615,20240905174946,324873771.0,1.0,2.0,52.34291936943553,4.907369291704932,1.0,1.0,1.0,1.0,145.0,1.0,365.0,1.0,365.0,65.0,2.6,82,262,0.0,4.8,4.9,4.8,4.9,4.9,4.8,4.7,1.0,1.0,0.0,0.0
6588,2024-09-06,Houseboat Prince-Avalon,Suzanne,2018-06-27,within an hour,100%,95%,f,t,"Amsterdam, Noord-Holland, Netherlands",Shared room in houseboat,Shared room,"[""Dishes and silverware"", ""Toaster"", ""Shower gel"", ""Coffee"", ""Body soap"", ""Portable fans"", ""Coffee maker"", ""Patio or balcony"", ""Paid parking off premises"", ""Cooking basics"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Hot water"", ""Waterfront"", ""Smoke alarm"", ""Iron"", ""Cleaning products"", ""Microwave"", ""Refrigerator"", ""Wine glasses"", ""Single level home"", ""Host greets you"", ""Hair dryer"", ""Conditioner"", ""Wifi"", ""Hot water kettle"", ""Hangers"", ""Dining table"", ""Essentials"", ""Heating"", ""Long term stays allowed"", ""Room-darkening shades"", ""Shampoo"", ""Fire extinguisher"", ""Kitchen"", ""Bed linens""]",t,2020-09-27,2024-05-29,0363 C3AF A1C3 8460 B659,f,43042407,20240905174946,198405490.0,1.0,1.4,52.37799,4.88549,4.0,1.0,2.0,3.0,321.0,3.0,30.0,4.0,30.0,65.0,9.0,39,279,52.0,4.73,4.9,4.63,4.79,5.0,4.94,4.4,1.0,1.0,0.0,0.0
7038,2024-09-05,Bed in unisex dorm.,Marrit,2022-10-12,within an hour,99%,100%,f,t,undefined,Shared room in hostel,Shared room,"[""Dishes and silverware"", ""Air conditioning"", ""Smoke alarm"", ""Essentials"", ""Host greets you"", ""Heating"", ""Board games"", ""Dedicated workspace"", ""Coffee maker"", ""Hair dryer"", ""Carbon monoxide alarm"", ""Wifi"", ""Bed linens"", ""Hot water""]",t,2023-05-17,2024-08-21,Exempt,t,746060021045144380,20240905174946,75942371.7,1.0,2.0,52.366172,4.911267,1.0,1.0,1.0,1.0,251.2,1.0,14.0,1.1,14.0,65.0,2.6,87,177,13.4,4.67,4.69,4.69,4.83,5.0,4.73,4.5,1.0,1.0,0.0,0.0
7097,2024-09-05,Generator - Bed in 6 bed Female Dorm,Generator,2019-03-27,within an hour,98%,99%,f,t,"Amsterdam, Noord-Holland, Netherlands",Shared room in hotel,Shared room,"[""Air conditioning"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Heating"", ""Hair dryer"", ""Exterior security cameras on property"", ""Room-darkening shades"", ""Wifi"", ""Bed linens"", ""Hot water""]",t,00/00/00,00/00/00,Exempt,t,1237477999630690008,20240905174946,251479377.0,1.0,1.4,52.36228242564279,4.915047547481502,1.0,1.0,1.0,1.0,251.2,1.0,365.0,1.0,28.0,65.0,2.6,90,359,0.0,4.8,4.9,4.8,4.9,4.9,4.8,4.7,1.0,1.0,0.0,0.0
7136,2024-09-05,Generator - Single Pod,Generator,2019-03-27,within an hour,98%,99%,f,t,"Amsterdam, Noord-Holland, Netherlands",Shared room in hotel,Shared room,"[""Air conditioning"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Wifi"", ""Hot water""]",t,00/00/00,00/00/00,Exempt,t,1237570860858758114,20240905174946,251479377.0,1.0,1.4,52.36233791458082,4.913716958012384,1.0,1.0,1.0,1.0,82.0,1.0,365.0,1.0,999.0,65.0,2.6,84,358,0.0,4.8,4.9,4.8,4.9,4.9,4.8,4.7,1.0,1.0,0.0,0.0
7853,2024-09-05,Generator - Bed in 6-bed Dorm,Generator,2019-03-27,within an hour,98%,99%,f,t,"Amsterdam, Noord-Holland, Netherlands",Shared room in hotel,Shared room,"[""Air conditioning"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Heating"", ""Exterior security cameras on property"", ""Room-darkening shades"", ""Wifi"", ""Bed linens"", ""Hot water""]",t,00/00/00,00/00/00,Exempt,t,1237584240780010801,20240905174946,251479377.0,1.0,1.4,52.36209,4.91319,1.0,1.0,1.0,2.0,251.2,1.0,365.0,1.0,28.0,65.0,2.6,90,365,0.0,4.8,4.9,4.8,4.9,4.9,4.8,4.7,1.0,1.0,0.0,0.0
7855,2024-09-05,Bed in Women Dorm,Marrit,2022-10-12,within an hour,99%,100%,f,t,undefined,Shared room in hostel,Shared room,"[""Dishes and silverware"", ""Coffee"", ""Garden view"", ""Dedicated workspace"", ""Coffee maker: drip coffee maker"", ""Carbon monoxide alarm"", ""Hot water"", ""Smoke alarm"", ""Iron"", ""Refrigerator"", ""Life size games"", ""Extra pillows and blankets"", ""Host greets you"", ""Paid street parking off premises"", ""Luggage dropoff allowed"", ""Hair dryer"", ""Bikes"", ""Wifi"", ""Dishwasher"", ""Hot water kettle"", ""Air conditioning"", ""Hangers"", ""Heating - split type ductless system"", ""Essentials"", ""Dining table"", ""Books and reading material"", ""Board games"", ""Freezer"", ""Laundromat nearby"", ""First aid kit"", ""Fire extinguisher"", ""Stainless steel oven"", ""Bed linens""]",t,2023-05-12,2024-08-18,Exempt,t,747449848984932665,20240905174946,75942371.7,1.0,2.0,52.366172,4.911267,1.0,1.0,1.0,1.0,251.2,1.0,14.0,1.1,14.0,65.0,2.6,75,165,58.0,4.74,4.59,4.62,4.9,4.88,4.72,4.5,1.0,1.0,0.0,0.0
8213,2024-09-05,Teleport Crash Zone - Bed in 6-bed Mixed dorm.,David,2020-03-19,within an hour,90%,100%,f,t,undefined,Shared room in hostel,Shared room,"[""Paid parking on premises"", ""Smoke alarm"", ""Essentials"", ""Heating"", ""Free parking on premises"", ""Coffee maker"", ""Microwave"", ""Refrigerator"", ""Shampoo"", ""Wifi"", ""Fire extinguisher"", ""Bed linens"", ""Hot water""]",t,2022-02-15,2024-07-27,Exempt,t,54326218,20240905174946,342059962.0,1.0,1.4,52.38435,4.8331,1.0,1.0,1.0,1.0,251.2,1.0,99.0,1.0,1000.0,65.0,2.6,90,365,54.0,4.9,4.9,4.8,4.9,5.0,4.8,4.17,1.0,1.0,0.0,0.0
8325,2024-09-05,Generator - Bed in 6 bed Female Dorm,Generator,2019-03-27,within an hour,98%,99%,f,t,"Amsterdam, Noord-Holland, Netherlands",Shared room in hotel,Shared room,"[""Air conditioning"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Heating"", ""Hair dryer"", ""Room-darkening shades"", ""Wifi"", ""Bed linens"", ""Hot water""]",t,00/00/00,00/00/00,Exempt,t,1237527075613684931,20240905174946,251479377.0,1.0,1.4,52.36055258296949,4.915304457147274,1.0,1.0,1.0,1.0,251.2,1.0,365.0,1.0,999.0,65.0,2.6,87,356,0.0,4.8,4.9,4.8,4.9,4.9,4.8,4.7,1.0,1.0,0.0,0.0
8352,2024-09-05,Generator - Bed in 6-bed Dorm,Generator,2019-03-27,within an hour,98%,99%,f,t,"Amsterdam, Noord-Holland, Netherlands",Shared room in hotel,Shared room,"[""Air conditioning"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Heating"", ""Room-darkening shades"", ""Wifi"", ""Bed linens"", ""Hot water""]",t,00/00/00,00/00/00,Exempt,t,1237584901773025424,20240905174946,251479377.0,1.0,1.4,52.36048031471626,4.915057922734897,1.0,1.0,1.0,2.0,251.2,1.0,365.0,1.0,999.0,65.0,2.6,87,362,0.0,4.8,4.9,4.8,4.9,4.9,4.8,4.7,1.0,1.0,0.0,0.0
